Date,Product Name,Demand,DayOfWeek,Month,IsWeekend
2025-04-01,Allegra 120mg,0.0,1,4,0
2025-04-01,Amlodipine 5mg,2.0,1,4,0
2025-04-01,Amoxicillin 250mg,0.0,1,4,0
2025-04-01,Atorvastatin 10mg,0.0,1,4,0
2025-04-01,Avil 25mg,0.0,1,4,0
2025-04-01,Azithromycin 500mg,0.0,1,4,0
2025-04-01,Bandage Roll,0.0,1,4,0
2025-04-01,Becosules,0.0,1,4,0
2025-04-01,Betadine Ointment,0.0,1,4,0
2025-04-01,Calpol 500mg,0.0,1,4,0
2025-04-01,Cetirizine 10mg,0.0,1,4,0
2025-04-01,Chlorpheniramine,0.0,1,4,0
2025-04-01,Ciprofloxacin 500mg,0.0,1,4,0
2025-04-01,Clotrimazole Cream,0.0,1,4,0
2025-04-01,Combiflam,0.0,1,4,0
2025-04-01,Crocin Advance,0.0,1,4,0
2025-04-01,Dexamethasone 4mg,0.0,1,4,0
2025-04-01,Digene,3.0,1,4,0
2025-04-01,Disprin,4.0,1,4,0
2025-04-01,Dolo 650mg,0.0,1,4,0
2025-04-01,Domperidone 10mg,0.0,1,4,0
2025-04-01,Erythromycin 250mg,7.0,1,4,0
2025-04-01,Glibenclamide 5mg,0.0,1,4,0
2025-04-01,Hand Sanitizer,0.0,1,4,0
2025-04-01,Hydroxychloroquine 200mg,0.0,1,4,0
2025-04-01,Ibuprofen 400mg,6.0,1,4,0
2025-04-01,Insulin 30/70,0.0,1,4,0
2025-04-01,Ivermectin 12mg,0.0,1,4,0
2025-04-01,Levocetirizine 5mg,0.0,1,4,0
2025-04-01,Loperamide 2mg,0.0,1,4,0
2025-04-01,Losartan 50mg,0.0,1,4,0
2025-04-01,Metformin 500mg,0.0,1,4,0
2025-04-01,Montelukast 10mg,0.0,1,4,0
2025-04-01,Multivitamin Syrup,3.0,1,4,0
2025-04-01,N95 Mask,0.0,1,4,0
2025-04-01,Nicotine Patch,0.0,1,4,0
2025-04-01,ORS Sachet,0.0,1,4,0
2025-04-01,Omeprazole 20mg,0.0,1,4,0
2025-04-01,Pantoprazole 40mg,0.0,1,4,0
2025-04-01,Paracetamol 500mg,0.0,1,4,0
2025-04-01,Prednisolone 10mg,0.0,1,4,0
2025-04-01,Ranitidine 150mg,0.0,1,4,0
2025-04-01,Salbutamol Inhaler,0.0,1,4,0
2025-04-01,Surgical Gloves,0.0,1,4,0
2025-04-01,Tetanus Toxoid,3.0,1,4,0
2025-04-01,Thermometer,0.0,1,4,0
2025-04-01,Thyroxine 50mcg,0.0,1,4,0
2025-04-01,Vitamin C Tablets,0.0,1,4,0
2025-04-01,Volini Gel,0.0,1,4,0
2025-04-01,Zincovit,0.0,1,4,0
2025-04-02,Allegra 120mg,0.0,2,4,0
2025-04-02,Amlodipine 5mg,0.0,2,4,0
2025-04-02,Amoxicillin 250mg,0.0,2,4,0
2025-04-02,Atorvastatin 10mg,0.0,2,4,0
2025-04-02,Avil 25mg,0.0,2,4,0
2025-04-02,Azithromycin 500mg,2.0,2,4,0
2025-04-02,Bandage Roll,0.0,2,4,0
2025-04-02,Becosules,0.0,2,4,0
2025-04-02,Betadine Ointment,0.0,2,4,0
2025-04-02,Calpol 500mg,0.0,2,4,0
2025-04-02,Cetirizine 10mg,0.0,2,4,0
2025-04-02,Chlorpheniramine,0.0,2,4,0
2025-04-02,Ciprofloxacin 500mg,0.0,2,4,0
2025-04-02,Clotrimazole Cream,4.0,2,4,0
2025-04-02,Combiflam,0.0,2,4,0
2025-04-02,Crocin Advance,0.0,2,4,0
2025-04-02,Dexamethasone 4mg,0.0,2,4,0
2025-04-02,Digene,0.0,2,4,0
2025-04-02,Disprin,0.0,2,4,0
2025-04-02,Dolo 650mg,0.0,2,4,0
2025-04-02,Domperidone 10mg,0.0,2,4,0
2025-04-02,Erythromycin 250mg,0.0,2,4,0
2025-04-02,Glibenclamide 5mg,0.0,2,4,0
2025-04-02,Hand Sanitizer,7.0,2,4,0
2025-04-02,Hydroxychloroquine 200mg,2.0,2,4,0
2025-04-02,Ibuprofen 400mg,0.0,2,4,0
2025-04-02,Insulin 30/70,0.0,2,4,0
2025-04-02,Ivermectin 12mg,0.0,2,4,0
2025-04-02,Levocetirizine 5mg,0.0,2,4,0
2025-04-02,Loperamide 2mg,10.0,2,4,0
2025-04-02,Losartan 50mg,0.0,2,4,0
2025-04-02,Metformin 500mg,0.0,2,4,0
2025-04-02,Montelukast 10mg,0.0,2,4,0
2025-04-02,Multivitamin Syrup,0.0,2,4,0
2025-04-02,N95 Mask,0.0,2,4,0
2025-04-02,Nicotine Patch,0.0,2,4,0
2025-04-02,ORS Sachet,0.0,2,4,0
2025-04-02,Omeprazole 20mg,0.0,2,4,0
2025-04-02,Pantoprazole 40mg,0.0,2,4,0
2025-04-02,Paracetamol 500mg,0.0,2,4,0
2025-04-02,Prednisolone 10mg,0.0,2,4,0
2025-04-02,Ranitidine 150mg,0.0,2,4,0
2025-04-02,Salbutamol Inhaler,0.0,2,4,0
2025-04-02,Surgical Gloves,0.0,2,4,0
2025-04-02,Tetanus Toxoid,5.0,2,4,0
2025-04-02,Thermometer,0.0,2,4,0
2025-04-02,Thyroxine 50mcg,0.0,2,4,0
2025-04-02,Vitamin C Tablets,0.0,2,4,0
2025-04-02,Volini Gel,4.0,2,4,0
2025-04-02,Zincovit,2.0,2,4,0
