Date,Product Name,Batch No,Expiry Date,Quantity,MRP (₹),GST (%),GST Amount (₹),Amount (₹),Month_Date,Sales Type
2025-04-01,Disprin,190,2026-05-01,4,5.64,12.0,2.417142857,22.56,2025-04-01,Prescription
2025-04-01,Digene,465,2026-03-01,3,29.2,12.0,9.385714286,87.6,2025-04-01,Prescription
2025-04-01,Multivitamin Syrup,892,2025-12-01,3,170.0,12.0,54.64285714,510.0,2025-04-01,OTC
2025-04-01,Ibuprofen 400mg,222,2026-05-01,6,12.88,12.0,8.28,77.28,2025-04-01,Prescription
2025-04-01,Erythromycin 250mg,377,2026-04-01,7,60.0,12.0,45.0,420.0,2025-04-01,Prescription
2025-04-01,Tetanus Toxoid,981,2028-04-01,3,11.35,12.0,3.648214286,34.05,2025-04-01,Prescription
2025-04-01,Amlodipine 5mg,410,2026-12-01,2,83.9,12.0,17.97857143,167.8,2025-04-01,Prescription
2025-04-02,Tetanus Toxoid,981,2028-04-01,5,11.35,12.0,6.080357143,56.75,2025-04-01,Prescription
2025-04-02,Volini Gel,531,2026-01-01,4,265.0,12.0,113.5714286,1060.0,2025-04-01,OTC
2025-04-02,Azithromycin 500mg,885,2026-07-01,2,79.16,12.0,16.96285714,158.32,2025-04-01,Prescription
2025-04-02,Hand Sanitizer,839,2026-01-01,7,30.0,12.0,22.5,210.0,2025-04-01,OTC
2025-04-02,Hydroxychloroquine 200mg,963,2026-04-01,2,108.7,12.0,23.29285714,217.4,2025-04-01,Prescription
2025-04-02,Loperamide 2mg,751,2026-04-01,10,25.48,12.0,27.3,254.8,2025-04-01,Prescription
2025-04-02,Clotrimazole Cream,440,2026-04-01,4,302.5,12.0,129.6428571,1210.0,2025-04-01,OTC
2025-04-02,Zincovit,734,2026-03-01,2,115.0,12.0,24.64285714,230.0,2025-04-01,Prescription
2025-04-03,Montelukast 10mg,648,2027-01-01,2,140.0,12.0,30.0,280.0,2025-04-01,Prescription
2025-04-03,Combiflam,244,2026-06-01,3,55.71,12.0,17.90678571,167.13,2025-04-01,Prescription
2025-04-03,Nicotine Patch,513,2025-08-01,6,85.57,12.0,55.00928571,513.42,2025-04-01,Prescription
2025-04-03,Amlodipine 5mg,600,2026-01-01,3,83.9,12.0,26.96785714,251.7,2025-04-01,Prescription
2025-04-04,Disprin,190,2026-05-01,4,5.64,12.0,2.417142857,22.56,2025-04-01,Prescription
2025-04-04,Erythromycin 250mg,377,2026-04-01,4,60.0,12.0,25.71428571,240.0,2025-04-01,Prescription
2025-04-04,Dolo 650mg,994,2026-01-01,6,33.76,12.0,21.70285714,202.56,2025-04-01,Prescription
2025-04-04,Paracetamol 500mg,863,2026-01-01,7,10.08,12.0,7.56,70.56,2025-04-01,Prescription
2025-04-04,Clotrimazole Cream,440,2026-04-01,1,302.5,12.0,32.41071429,302.5,2025-04-01,OTC
2025-04-04,Clotrimazole Cream,440,2026-04-01,1,302.5,12.0,32.41071429,302.5,2025-04-01,OTC
2025-04-05,Combiflam,442,2026-06-01,4,55.71,12.0,23.87571429,222.84,2025-04-01,Prescription
2025-04-05,Disprin,190,2026-05-01,1,5.64,12.0,0.6042857143,5.64,2025-04-01,Prescription
2025-04-05,Montelukast 10mg,762,2027-01-01,8,140.0,12.0,120.0,1120.0,2025-04-01,Prescription
2025-04-05,Metformin 500mg,115,2026-04-01,6,44.0,12.0,28.28571429,264.0,2025-04-01,Prescription
2025-04-05,Hydroxychloroquine 200mg,397,2026-04-01,5,108.7,12.0,58.23214286,543.5,2025-04-01,Prescription
2025-04-05,Digene,338,2026-03-01,7,29.2,12.0,21.9,204.4,2025-04-01,Prescription
2025-04-05,Betadine Ointment,744,2026-03-01,9,97.0,12.0,93.53571429,873.0,2025-04-01,Prescription
2025-04-05,Paracetamol 500mg,249,2026-01-01,15,10.08,12.0,16.2,151.2,2025-04-01,Prescription
2025-04-05,Amlodipine 5mg,600,2026-01-01,6,83.9,12.0,53.93571429,503.4,2025-04-01,Prescription
2025-04-05,Multivitamin Syrup,892,2025-12-01,7,170.0,12.0,127.5,1190.0,2025-04-01,OTC
2025-04-06,Disprin,190,2026-05-01,6,5.64,12.0,3.625714286,33.84,2025-04-01,Prescription
2025-04-06,Combiflam,442,2026-06-01,7,55.71,12.0,41.7825,389.97,2025-04-01,Prescription
2025-04-06,Dolo 650mg,994,2026-01-01,3,33.76,12.0,10.85142857,101.28,2025-04-01,Prescription
2025-04-06,Vitamin C Tablets,818,2026-01-01,8,24.86,12.0,21.30857143,198.88,2025-04-01,OTC
2025-04-06,Crocin Advance,443,2026-01-01,6,20.16,12.0,12.96,120.96,2025-04-01,Prescription
2025-04-07,Amlodipine 5mg,600,2026-01-01,1,83.9,12.0,8.989285714,83.9,2025-04-01,Prescription
2025-04-07,Betadine Ointment,726,2026-05-01,5,97.0,12.0,51.96428571,485.0,2025-04-01,Prescription
2025-04-07,Volini Gel,994,2026-01-01,5,265.0,12.0,141.9642857,1325.0,2025-04-01,OTC
2025-04-07,Metformin 500mg,115,2026-04-01,5,44.0,12.0,23.57142857,220.0,2025-04-01,Prescription
2025-04-07,Amlodipine 5mg,839,2026-01-01,10,83.9,12.0,89.89285714,839.0,2025-04-01,Prescription
2025-04-07,Betadine Ointment,726,2026-05-01,3,97.0,12.0,31.17857143,291.0,2025-04-01,Prescription
2025-04-08,Avil 25mg,535,2026-04-01,8,13.25,12.0,11.35714286,106.0,2025-04-01,Prescription
2025-04-08,Atorvastatin 10mg,166,2026-05-01,9,55.32,12.0,53.34428571,497.88,2025-04-01,Prescription
2025-04-08,Avil 25mg,723,2026-04-01,7,13.25,12.0,9.9375,92.75,2025-04-01,Prescription
2025-04-08,Montelukast 10mg,762,2027-01-01,12,140.0,12.0,180.0,1680.0,2025-04-01,Prescription
2025-04-08,Pantoprazole 40mg,388,2026-04-01,7,153.15,12.0,114.8625,1072.05,2025-04-01,Prescription
2025-04-08,Disprin,190,2026-05-01,7,5.64,12.0,4.23,39.48,2025-04-01,Prescription
2025-04-09,Multivitamin Syrup,996,2025-12-01,8,170.0,12.0,145.7142857,1360.0,2025-04-01,OTC
2025-04-09,Loperamide 2mg,751,2026-04-01,1,25.48,12.0,2.73,25.48,2025-04-01,Prescription
2025-04-09,Chlorpheniramine,212,2026-04-01,2,102.29,12.0,21.91928571,204.58,2025-04-01,Prescription
2025-04-09,Azithromycin 500mg,885,2026-07-01,2,79.16,12.0,16.96285714,158.32,2025-04-01,Prescription
2025-04-09,Dexamethasone 4mg,262,2026-04-01,2,40.0,12.0,8.571428571,80.0,2025-04-01,Prescription
2025-04-10,Multivitamin Syrup,996,2025-12-01,6,170.0,12.0,109.2857143,1020.0,2025-04-01,OTC
2025-04-10,Azithromycin 500mg,930,2026-07-01,9,79.16,12.0,76.33285714,712.44,2025-04-01,Prescription
2025-04-10,Erythromycin 250mg,377,2026-04-01,1,60.0,12.0,6.428571429,60.0,2025-04-01,Prescription
2025-04-10,Montelukast 10mg,684,2027-01-01,12,140.0,12.0,180.0,1680.0,2025-04-01,Prescription
2025-04-10,Azithromycin 500mg,930,2026-07-01,5,79.16,12.0,42.40714286,395.8,2025-04-01,Prescription
2025-04-10,Thyroxine 50mcg,303,2027-04-01,8,140.83,12.0,120.7114286,1126.64,2025-04-01,Prescription
2025-04-10,Atorvastatin 10mg,127,2026-05-01,4,55.32,12.0,23.70857143,221.28,2025-04-01,Prescription
2025-04-10,Ranitidine 150mg,733,2025-12-01,8,13.65,12.0,11.7,109.2,2025-04-01,Prescription
2025-04-10,Amoxicillin 250mg,756,2026-04-01,4,40.99,12.0,17.56714286,163.96,2025-04-01,Prescription
2025-04-10,Volini Gel,994,2026-01-01,3,265.0,12.0,85.17857143,795.0,2025-04-01,OTC
2025-04-11,Ivermectin 12mg,958,2025-12-01,10,177.95,12.0,190.6607143,1779.5,2025-04-01,Prescription
2025-04-11,Hand Sanitizer,200,2026-01-01,8,30.0,12.0,25.71428571,240.0,2025-04-01,OTC
2025-04-11,Ciprofloxacin 500mg,139,2026-04-01,6,47.49,12.0,30.52928571,284.94,2025-04-01,Prescription
2025-04-11,Nicotine Patch,711,2025-08-01,4,85.57,12.0,36.67285714,342.28,2025-04-01,Prescription
2025-04-11,Crocin Advance,443,2026-01-01,5,20.16,12.0,10.8,100.8,2025-04-01,Prescription
2025-04-11,Omeprazole 20mg,110,2026-12-01,1,32.14,12.0,3.443571429,32.14,2025-04-01,Prescription
2025-04-11,Surgical Gloves,416,2027-01-01,3,83.0,12.0,26.67857143,249.0,2025-04-01,Prescription
2025-04-11,Thyroxine 50mcg,303,2027-04-01,5,140.83,12.0,75.44464286,704.15,2025-04-01,Prescription
2025-04-11,Multivitamin Syrup,996,2025-12-01,6,170.0,12.0,109.2857143,1020.0,2025-04-01,OTC
2025-04-11,Becosules,300,2026-01-01,10,60.49,12.0,64.81071429,604.9,2025-04-01,Prescription
2025-04-12,Glibenclamide 5mg,226,2026-06-01,3,48.75,12.0,15.66964286,146.25,2025-04-01,Prescription
2025-04-12,Clotrimazole Cream,440,2026-04-01,1,302.5,12.0,32.41071429,302.5,2025-04-01,OTC
2025-04-12,Insulin 30/70,790,2026-01-01,9,174.0,12.0,167.7857143,1566.0,2025-04-01,Prescription
2025-04-12,Chlorpheniramine,142,2026-12-01,9,102.29,12.0,98.63678571,920.61,2025-04-01,Prescription
2025-04-12,Losartan 50mg,188,2027-01-01,1,96.55,12.0,10.34464286,96.55,2025-04-01,Prescription
2025-04-12,Prednisolone 10mg,467,2025-12-01,9,27.0,12.0,26.03571429,243.0,2025-04-01,Prescription
2025-04-12,Bandage Roll,829,2026-04-01,7,22.0,12.0,16.5,154.0,2025-04-01,Prescription
2025-04-13,Allegra 120mg,104,2026-07-01,5,264.72,12.0,141.8142857,1323.6,2025-04-01,Prescription
2025-04-13,Digene,338,2026-03-01,7,29.2,12.0,21.9,204.4,2025-04-01,Prescription
2025-04-13,Hydroxychloroquine 200mg,397,2026-04-01,3,108.7,12.0,34.93928571,326.1,2025-04-01,Prescription
2025-04-13,N95 Mask,877,2025-12-01,2,28.0,12.0,6.0,56.0,2025-04-01,Prescription
