Product Name,Total_Demand,Sales_Value,Value_Share,Cumulative_Value_Share,ABC,Mean_Demand,Std_Demand,CV,XYZ,ABC_XYZ
Clotrimazole Cream,182.0,55055.0,0.09764811443539588,0.09764811443539588,A,8.272727272727273,6.598569961826998,0.7976293360450216,Y,AY
Allegra 120mg,173.0,45796.56,0.08122691366138358,0.17887502809677946,A,7.863636363636363,7.005409165477602,0.8908612811590014,Y,AY
Volini Gel,154.0,40810.0,0.07238251839267107,0.25125754648945053,A,7.0,5.459809869356606,0.7799728384795152,Y,AY
Multivitamin Syrup,174.0,29580.0,0.05246446689672165,0.30372201338617216,A,7.909090909090909,8.228342950170934,1.0403652005963249,Z,AZ
Insulin 30/70,152.0,26448.0,0.046909405695892296,0.35063141908206447,A,6.909090909090909,7.596422033143479,1.0994821363760299,Z,AZ
Ivermectin 12mg,137.0,24379.15,0.04323999689469951,0.393871415976764,A,6.2272727272727275,5.673092867561986,0.911007613769078,Y,AY
Thermometer,120.0,22800.0,0.04043914284128646,0.4343105588180505,A,5.454545454545454,4.615989526348528,0.8462647464972303,Y,AY
Montelukast 10mg,147.0,20580.0,0.03650164735410857,0.470812206172159,A,6.681818181818182,8.876863257857547,1.328510147434463,Z,AZ
Pantoprazole 40mg,130.0,19909.5,0.03531241729818389,0.5061246234703429,A,5.909090909090909,6.457989447624369,1.0928905219056624,Z,AZ
Losartan 50mg,174.0,16799.7,0.029796731052226324,0.5359213545225693,A,7.909090909090909,7.909663113102262,1.0000723476336193,Z,AZ
Thyroxine 50mcg,119.0,16758.77,0.029724135696239752,0.565645490218809,A,5.409090909090909,5.215901427905603,0.9642842975959939,Y,AY
Zincovit,135.0,15525.0,0.02753586371100756,0.5931813539298166,A,6.136363636363637,5.792404341199608,0.9439473741214175,Y,AY
Surgical Gloves,175.0,14525.0,0.02576221709516166,0.6189435710249783,A,7.954545454545454,7.63124699743959,0.9593567653924056,Y,AY
Salbutamol Inhaler,197.0,14432.220000000001,0.02559765816214348,0.6445412291871218,A,8.954545454545455,6.999845390995111,0.7817086223446316,Y,AY
Nicotine Patch,165.0,14119.05,0.025042205251459018,0.6695834344385808,A,7.5,5.853366959443493,0.780448927925799,Y,AY
Chlorpheniramine,135.0,13809.15,0.024492552165208376,0.6940759866037892,A,6.136363636363637,5.166701577873953,0.8419809978757552,Y,AY
Hydroxychloroquine 200mg,119.0,12935.3,0.022942651069951435,0.7170186376737406,A,5.409090909090909,7.544528707607482,1.39478681989382,Z,AZ
Azithromycin 500mg,136.0,10765.76,0.01909465379100913,0.7361132914647498,A,6.181818181818182,4.436175569074524,0.7176166361738201,X,AX
Combiflam,183.0,10194.93,0.018082203093285815,0.7541954945580356,A,8.318181818181818,8.935676826425649,1.074234372575761,Z,AZ
Becosules,159.0,9617.91,0.017058773523010416,0.771254268081046,A,7.2272727272727275,7.794575758526648,1.078494759041423,Z,AZ
Amlodipine 5mg,98.0,8222.2,0.01458327720480814,0.7858375452858541,A,4.454545454545454,4.738165937387214,1.0636699043114153,Z,AZ
Erythromycin 250mg,137.0,8220.0,0.014579375182253277,0.8004169204681074,B,6.2272727272727275,5.537162916166831,0.8891794463917538,Y,BY
Betadine Ointment,79.0,7663.0,0.013591454017227111,0.8140083744853346,B,3.590909090909091,3.8004898294460596,1.0583642563014344,Z,BZ
Dexamethasone 4mg,182.0,7280.0,0.012912147363358134,0.8269205218486927,B,8.272727272727273,6.86732649290633,0.8301163892524135,Y,BY
Atorvastatin 10mg,130.0,7191.6,0.012755357002517356,0.8396758788512101,B,5.909090909090909,5.672902095208253,0.9600295853429351,Y,BY
ORS Sachet,162.0,6392.63,0.01133826656585496,0.851014145417065,B,7.363636363636363,7.1283836045665225,0.9680520944473056,Y,BY
Ciprofloxacin 500mg,120.0,5698.8,0.0101076573343826,0.8611218027514476,B,5.454545454545454,5.569707803973653,1.0211130973951699,Z,BZ
Glibenclamide 5mg,116.0,5655.0,0.01002997161260855,0.8711517743640561,B,5.2727272727272725,7.132633375861882,1.3527408126634606,Z,BZ
Dolo 650mg,157.0,5300.32,0.009400894630900327,0.8805526689949564,B,7.136363636363637,4.693414378481675,0.6576759001694067,X,BX
Bandage Roll,235.0,5250.0,0.009311644733190962,0.8898643137281474,B,10.681818181818182,12.40731874506166,1.1615362229419426,Z,BZ
Hand Sanitizer,172.0,5160.0,0.009152016537764832,0.8990163302659123,B,7.818181818181818,5.679003631895497,0.7263841854750054,X,BX
Crocin Advance,237.0,4777.92,0.008474341638782431,0.9074906719046948,B,10.772727272727273,7.812882025291662,0.725246432727496,X,BX
Amoxicillin 250mg,111.0,4549.89,0.00806989700097109,0.9155605689056658,B,5.045454545454546,4.913317885166055,0.9738107520148938,Y,BY
Digene,140.0,4088.0,0.0072506673655780285,0.9228112362712438,B,6.363636363636363,6.535947882183174,1.0270775243430703,Z,BZ
