Product Name,Stockout_Days_Basic,Fill_Rate_Basic,Average_Inventory_Basic,Stockout_Days_Safety,Fill_Rate_Safety,Average_Inventory_Safety,Stockout_Reduction_%,Inventory_Change_%
Allegra 120mg,4,0.9919150704597832,11.620658721004746,0,1.0,32.06894561084381,100.0,175.96495500619147
Amlodipine 5mg,7,0.863545418167267,6.055021572899309,0,1.0,20.696471325848673,100.0,241.8067314323149
Amoxicillin 250mg,3,0.9590178413707824,7.435858003332057,0,1.0,20.445038611951915,100.0,174.9519773345639
Atorvastatin 10mg,6,0.898592257415787,9.024007860224707,0,1.0,26.702534300754085,100.0,195.90548583685703
Avil 25mg,1,0.9955191698672596,11.681105557691506,0,1.0,37.32551101645132,100.0,219.53748583218714
Azithromycin 500mg,3,0.9346405228758168,9.374727668845305,0,1.0,25.877707671217095,100.0,176.03690032741488
Bandage Roll,3,0.9853984146850232,15.263360246059236,0,1.0,44.05762012539696,100.0,188.64954646387224
Becosules,4,0.9503021334319894,10.453671664744329,0,1.0,27.91041795861879,100.0,166.99153038016723
Betadine Ointment,5,0.8969967733929017,4.873638344226586,0,1.0,15.107007432416227,100.0,209.97391200174516
Calpol 500mg,5,0.9023529411764705,6.087530437011405,0,1.0,19.488056116102626,100.0,220.13073803488098
Cetirizine 10mg,5,0.8204134366925067,6.159596736298015,0,1.0,16.929929757547566,100.0,174.85451535781283
Chlorpheniramine,2,0.9851851851851852,9.187620146097647,0,1.0,24.697416548125233,100.0,168.81190292368825
Ciprofloxacin 500mg,6,0.9197712418300654,8.139305395360758,0,1.0,23.777904623658742,100.0,192.1367791066259
Clotrimazole Cream,3,0.9767291531997415,11.846084839164435,0,1.0,31.002520982068827,100.0,161.71111724247612
Combiflam,2,0.9824279438551379,10.933487120338327,0,1.0,31.02524481465616,100.0,183.763491676351
Crocin Advance,3,0.9817986266236454,16.03396129693708,0,1.0,39.52543646294077,100.0,146.5107388683244
Dexamethasone 4mg,1,0.9998922645981471,12.926011363150952,0,1.0,30.13426049981079,100.0,133.1288411653153
Digene,4,0.8904761904761902,8.423939510444702,0,1.0,30.169380410840354,100.0,258.1386164209019
Disprin,2,0.979775558021951,11.17352300397283,0,1.0,28.856959307454392,100.0,158.26195817732764
Dolo 650mg,2,0.9503767536738686,10.111111111111091,0,1.0,28.319783865351003,100.0,180.085774492483
Domperidone 10mg,4,0.9582267689684568,8.740356273228258,0,1.0,28.283795875867202,100.0,223.60003404552936
Erythromycin 250mg,4,0.9662706931921186,9.537827331368268,0,1.0,24.332415623397658,100.0,155.11486817728962
Glibenclamide 5mg,10,0.7382240252422806,7.7488145585031525,0,1.0,26.129138668349835,100.0,237.20175481134794
Hand Sanitizer,2,0.9860541115671076,11.332350805245849,0,1.0,29.86126772130512,100.0,163.50461818991752
Hydroxychloroquine 200mg,6,0.9047619047619048,8.198983297022506,0,1.0,25.214029360248507,100.0,207.5262925514812
Ibuprofen 400mg,11,0.7721018231854146,7.711136742278607,0,1.0,22.417262444746292,100.0,190.7128117938431
Insulin 30/70,7,0.9352425180598557,11.15699090093555,0,1.0,32.72795092165694,100.0,193.34030306426612
Ivermectin 12mg,3,0.9482849100710843,9.464778503994191,0,1.0,25.74894217121775,100.0,172.05012943886163
Levocetirizine 5mg,11,0.7254901960784306,6.875816993464058,0,1.0,23.19663324652977,100.0,237.36548352842703
Loperamide 2mg,5,0.8856209150326796,10.140586953735715,0,1.0,29.97554157023865,100.0,195.59966998947618
Losartan 50mg,1,0.9977462249267524,12.505446623093707,0,1.0,32.74949446616804,100.0,161.88184599252787
Metformin 500mg,13,0.2062623499012012,4.645136485966946,0,1.0,23.92490709964764,100.0,415.0528336879936
Montelukast 10mg,10,0.7944511137788448,10.117134435473519,0,1.0,31.98736114995375,100.0,216.17017006116933
Multivitamin Syrup,2,0.9676583276988957,10.74189414327824,0,1.0,33.1013732052094,100.0,208.15210766085093
N95 Mask,2,0.9882034114458793,8.398692810457502,0,1.0,22.361590486025904,100.0,166.25084391921936
Nicotine Patch,1,0.9998811645870469,11.271049596309114,0,1.0,27.91852021304423,100.0,147.70115661798343
ORS Sachet,3,0.967683369644154,12.493656286043828,0,1.0,32.12556005472865,100.0,157.1349756965449
Omeprazole 20mg,4,0.9577384351798973,7.296723482421292,0,1.0,19.45213388943596,100.0,166.58724201757886
Pantoprazole 40mg,2,0.9801910507792861,9.085864411123945,0,1.0,24.049491940735265,100.0,164.69129245744801
Paracetamol 500mg,5,0.9634471072379569,15.94694348327565,0,1.0,40.509179871820834,100.0,154.0247284020591
Prednisolone 10mg,5,0.9500225377507324,8.00397283096246,0,1.0,21.605672169764958,100.0,169.93685043739612
Ranitidine 150mg,7,0.9217096910706727,9.167029774872903,0,1.0,25.994716243228112,100.0,183.5674900334718
Salbutamol Inhaler,0,1.0,12.980178563800266,0,1.0,32.38683189628762,0.0,149.5099103382872
Surgical Gloves,3,0.9722128851540616,11.782049639027713,0,1.0,30.73401490656298,100.0,160.8545698598774
Tetanus Toxoid,1,0.9967647058823529,13.410867615019875,0,1.0,32.195233479738185,100.0,140.06823722337128
Thermometer,3,0.980718954248366,8.062411892861716,0,1.0,22.86006692121516,100.0,183.53881226850945
Thyroxine 50mcg,5,0.9355742296918769,8.092229484386348,0,1.0,23.313303454405826,100.0,188.09493724057097
Vitamin C Tablets,1,0.9962292609351433,11.640266564141998,0,1.0,26.983481335599922,100.0,131.81154131575397
Volini Gel,1,0.9979628214922333,10.259472852321736,0,1.0,25.649817434523,100.0,150.01106590694283
Zincovit,2,0.9764705882352941,9.088811995386381,0,1.0,24.153225639421674,100.0,165.7467846367844
