Product Name,Baseline_ROP,Optimized_ROP,Baseline_Stockout_Days,Optimized_Stockout_Days,Baseline_Fill_Rate,Optimized_Fill_Rate,Baseline_Average_Inventory,Optimized_Average_Inventory
Allegra 120mg,3.392156862745098,20.023524282140933,12,0,0.6606596395783747,1.0,9.960143534537988,44.50064846514744
Amlodipine 5mg,1.9215686274509802,13.422040951806542,9,1,0.6016406562625051,0.9124698056306789,6.406510316544925,49.38320456011985
Amoxicillin 250mg,2.176470588235294,13.520816697150133,7,0,0.7180710121886583,1.0,5.858131487889275,29.81493434420893
Atorvastatin 10mg,2.549019607843137,16.995838563999268,8,0,0.642835595776774,1.0,4.545046776880747,54.19845294308426
Avil 25mg,3.803921568627451,21.924393775517785,11,1,0.6686880937942188,0.9893009988428751,10.849673202614381,60.02315092838031
Azithromycin 500mg,2.6666666666666665,16.41793371749007,8,0,0.7058823529411765,1.0,6.758169934640521,39.65322783513714
Bandage Roll,4.6078431372549025,27.517810674758707,11,2,0.7612015018773468,0.9639055773393989,12.339741125208233,77.19574356450602
Becosules,3.11764705882353,20.040177649427953,9,0,0.661857195708472,1.0,9.31987697039602,39.360439087336594
Betadine Ointment,1.5490196078431375,10.297259748487228,10,1,0.4820054604120129,0.9151551866897116,4.174163783160322,44.991992412096366
Calpol 500mg,1.9607843137254903,12.9292424388927,11,1,0.5005882352941177,0.979292424388927,7.626425733692188,45.72853538944295
Cetirizine 10mg,1.6862745098039216,11.274262600652166,11,0,0.7081623347013224,1.0,2.7294630270408833,25.7709946267959
Chlorpheniramine,2.6470588235294117,15.503730770504252,11,0,0.7568627450980392,1.0,5.8073817762399065,50.13771769860883
Ciprofloxacin 500mg,2.3529411764705883,15.60424244096746,8,0,0.5651960784313727,1.0,5.510957324106116,39.59117054554255
Clotrimazole Cream,3.568627450980392,20.34235022608229,12,0,0.6886446886446886,1.0,10.53966423170575,37.080912317585465
Combiflam,3.5882352941176467,21.62186430946923,11,0,0.6579877852780456,1.0,9.184159938485188,51.10552444018805
Crocin Advance,4.647058823529412,25.731188349738947,12,1,0.7570116654256638,0.9819881364967888,13.38715878508267,50.140422793539955
Dexamethasone 4mg,3.568627450980392,20.035835316742578,14,1,0.6731307907778498,0.972724369872212,9.436626938357035,62.18689634327213
Digene,2.7450980392156863,17.779642293897115,9,0,0.6666666666666667,1.0,6.279251569909024,39.24369458147881
Disprin,3.11764705882353,17.931114774040527,12,1,0.7210506844247131,0.9744095268807579,7.968473663975414,54.27723084922786
Dolo 650mg,3.0784313725490193,18.424367856284555,11,0,0.7438491320094917,1.0,6.704088171216199,48.88188419615368
Domperidone 10mg,2.7058823529411766,17.074326678126823,9,1,0.7736572890025577,0.9932922223052668,6.059976931949256,41.306133351310045
Erythromycin 250mg,2.686274509803922,16.29764790151632,8,0,0.8527264920566768,1.0,6.4361143150070435,33.63098123484964
Glibenclamide 5mg,2.2745098039215685,16.414790209128974,8,1,0.5980392156862745,0.98633439835456,6.6459054209919195,54.20038507108262
Hand Sanitizer,3.372549019607843,19.85943648258317,9,0,0.7421340629274968,1.0,6.6694860950916315,35.192769815916435
Hydroxychloroquine 200mg,2.3333333333333335,15.208829918411075,11,0,0.5826330532212886,1.0,5.93899782135075,54.60752272886841
Ibuprofen 400mg,2.235294117647059,15.29979099216602,9,1,0.6475748194014451,0.9499981665979473,8.101883890811237,48.768105614427505
Insulin 30/70,2.980392156862745,20.35821305374055,8,0,0.6720846233230134,1.0,8.487120338331401,35.207886256354925
Ivermectin 12mg,2.686274509803922,17.206523186678353,9,0,0.6381852010877344,1.0,6.622324746892219,45.37645782720111
Levocetirizine 5mg,2.0,15.591872915472562,6,0,0.6862745098039216,1.0,3.973856209150327,28.03631735991706
Loperamide 2mg,3.0588235294117645,20.276453104734223,10,0,0.6470588235294118,1.0,12.741637831603242,47.524819117806075
